|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574694"|"71167071"
|3||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574694"|"71167087"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574694"|"71167163"
|2||"CORA6"|"Cornus racemosa"|"gray dogwood"|"12574694"|"71167179"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574694"|"71167194"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574694"|"71167273"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574694"|"71167311"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"12574694"|"71167343"
|9||"POCA19"|"Populus ×canadensis [deltoides × nigra]"|"Carolina poplar"|"12574694"|"71167621"
|9||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"12574694"|"71167636"
|5||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"12574694"|"71167697"
|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574694"|"71167821"
|3||"VILE"|"Viburnum lentago"|"nannyberry"|"12574694"|"71167905"
|9||"ACRU"|"Acer rubrum"|"red maple"|"12574695"|"71167006"
|3||"ALSE2"|"Alnus serrulata"|"hazel alder"|"12574695"|"71167010"
|2||"ARME6"|"Aronia melanocarpa"|"black chokeberry"|"12574695"|"71167026"
|9||"BENI"|"Betula nigra"|"river birch"|"12574695"|"71167036"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574695"|"71167072"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"12574695"|"71167075"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574695"|"71167088"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574695"|"71167164"
|2||"CORA6"|"Cornus racemosa"|"gray dogwood"|"12574695"|"71167180"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574695"|"71167195"
|3||"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"12574695"|"71167201"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574695"|"71167274"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574695"|"71167312"
|2||"LIBE3"|"Lindera benzoin"|"northern spicebush"|"12574695"|"71167360"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"12574695"|"71167365"
|5||"NYSY"|"Nyssa sylvatica"|"blackgum"|"12574695"|"71167410"
|2||"PHOP"|"Physocarpus opulifolius"|"common ninebark"|"12574695"|"71167421"
|12||"POCA19"|"Populus ×canadensis [deltoides × nigra]"|"Carolina poplar"|"12574695"|"71167622"
|12||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"12574695"|"71167637"
|9||"QUBI"|"Quercus bicolor"|"swamp white oak"|"12574695"|"71167687"
|5||"QUIM"|"Quercus imbricaria"|"Shingle oak"|"12574695"|"71167692"
|12||"QUPA2"|"Quercus palustris"|"pin oak"|"12574695"|"71167723"
|2||"SANIC4"|"Sambucus nigra subsp. canadensis"|"common elderberry"|"12574695"|"71167787"
|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574695"|"71167822"
|5||"THOC2"|"Thuja occidentalis"|"northern white-cedar"|"12574695"|"71167830"
|2||"VACO"|"Vaccinium corymbosum"|"highbush blueberry"|"12574695"|"71167878"
|3||"VILE"|"Viburnum lentago"|"nannyberry"|"12574695"|"71167906"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"12574695"|"71167927"
|9||"ACRU"|"Acer rubrum"|"red maple"|"12574696"|"71167007"
